"Venue Name","Venue type","Address","Latitude","Longitude"
"Cracknell's Gully Park","Park","207 Tarragindi Road, Tarragindi",-27.528263,153.035432
"Crawford Road Park","Park","79 Crawford Road, Wynnum West",-27.44905,153.147837
"Creekside Street Park","Park","61 Creekside Street, Kenmore Hills",-27.503515,152.917367
"Cresthaven Park","Park","50 Banika Street, Mansfield",-27.538396,153.109802
"Cribb Road Park","Park","62 Cribb Road, Carindale",-27.527006,153.120269
"Cromarty Street Park","Park","22 Kingussie Street, Kenmore",-27.513224,152.93086
"Crosby Park, Albion","Park","103 Crosby Road, Albion",-27.434515,153.047043
"Crosby Road Park","Park","150 Crosby Road, Ascot",-27.432708,153.051637
"Crossroads Community Garden","Non-Council venue","91 Maundrell Terrace, Chermside West",-27.384594,153.012588
"Croydon Road Park","Park","18A Croydon Road, Paddington",-27.457438,152.988709
"Cubberla Creek Reserve","Park","129 Fig Tree Pocket Road, Kenmore",-27.515071,152.952536
"Curlew Park","Park","74 Curlew Street, Sandgate",-27.325784,153.074692
"Currajong Street Park","Park","34 Currajong Street, Calamvale",-27.617482,153.052622
"Cyril Sims Park","Park","29 Marsala Street, Calamvale",-27.613748,153.059872
"D.J. Sherrington Park","Park","601 Blunder Road, Inala",-27.597569,152.986408
"D.M. Henderson Park","Park","434 McCullough Street, Macgregor",-27.571086,153.073331
"Daintree Close Park","Park","15 Daintree Close, Forest Lake",-27.620134,152.973605
"Daintree Drive Park (no. 65)","Park","65 Daintree Drive, Parkinson",-27.641645,153.029712
"Dairy Swamp Road Park","Park","50 Castlerea Street, Tingalpa",-27.484227,153.138772
"Dalkeith Park","Park","98 Kent Road, Wooloowin",-27.413501,153.042627
"Darling Point Park (road reserve)","Park","95 Lower Esplanade, Manly",-27.445729,153.183106
"Dash Street Park","Park","32 Duggan St, Keperra",-27.409092,152.955452
"Dasyure Place Park","Park","47 Dasyure Place, Wynnum West",-27.461544,153.151149
"Davidson Street Park","Park","82 Davidson St, Newmarket",-27.440367,153.001994
"Davies Park","Park","277 Montague Road, West End",-27.478623,153.004373
"Dawn Street Park","Park","26 Kamber Street, Bardon 4065",-27.453485,152.980308
"Dead Man's Gully Park","Park","5 Abarth Street, Chermside 4032",-27.390325,153.030781
"Deagon Sportsground Park","Park","83 Board Street, Deagon 4017 Australia",-27.321415,153.059736
"Decker Park","Park","18 25th Avenue, Brighton 4017",-27.285955,153.064202
"Deep Water Bend Reserve","Park","345 Wyampa Road, Bald Hills",-27.300217,153.036986
"Deerhurst Road Park","Park","55 Deerhurst Road, Brookfield 4069 Australia",-27.493767,152.920417
"Delapine Place Park","Park","Delapine Place, Seventeen Mile Rocks",-27.547,152.960717
"Delavan Street Park","Park","89 Delavan Street, Wishart",-27.562412,153.096284
"Delaware Street Community Garden","Community Garden,Non-Council venue","46 Delaware Street, Geebung",-27.377513,153.041727
"Delfin Street Park","Park","65 Delfin Drive, Macgregor",-27.56686,153.068537
"Dellow Street Park","Park","47 Dellow Street, Acacia Ridge",-27.588031,153.015441
"Deniven Street Park","Park","112 Pratten Street, Corinda",-27.549587,152.986046
"Dennis Webb Park","Park","118 Mt Gravatt-Capalaba Road, Upper Mt Gravatt",-27.556914,153.086539
"Dent Park","Park","65 St Achs Street, Nudgee",-27.3673,153.084125
"Desmond Avenue Park","Park","30 Desmond Avenue, Deagon 4017",-27.327729,153.058023
"Desoto Place Park","Park","26 Carisbrook Circuit, Forest Lake",-27.626776,152.961641
"Devitt Park","Park","64 Clinton Street, Coopers Plains 4108",-27.566166,153.036043
"Devonshire Street Park","Park","60 Devonshire Street, Ashgrove 4060",-27.447131,152.985405
"Dewberry Close Park","Park","329 Warrigal Road, Eight Mile Plains",-27.586107,153.086015
"Dianella Reserve","Park","162 Queens Parade, Brighton 4017",-27.299972,153.05392
"Dianthus Street (South) Park","Park","22 Dianthus Street, Wakerley",-27.489515,153.152742
"Dickinson Close Park","Park","1034 Boundary Road, Coopers Plains 4108",-27.570152,153.039497
"Didbrook Street Park","Park","151 Didbrook Street, Robertson",-27.564387,153.05364
"Diosma Street Park","Park","41 Mazzard Street, Bellbowrie 4070",-27.559112,152.882447
"Dittmer Park","Park","1793 Logan Road, Upper Mt Gravatt",-27.551622,153.077607
"Dobell Street Park","Park","48 Dobell St, Indooroopilly",-27.515122,152.95996
"Donaldson Street Park","Park","46 Donaldson Street, Norman Park",-27.478372,153.055732
"Donna Philp Park","Park","73 Stanworth Rd, Boondall",-27.354838,153.066043
"Donnington Street Park South","Park","871 Creek Road, Carindale",-27.513369,153.098639
"Dorrington Park","Park","5 Mirrabooka Road, Ashgrove",-27.440134,152.985766
"Dorville Road Park","Park","50 Dorville Road, Aspley 4034",-27.353194,153.018772
"Downey Park","Park","50 Noble St, Windsor",-27.440636,153.023224
"Downfall Creek Bushland Centre","Park","815 Rode Road, Chermside West",-27.390317,153.005465
"Downfall Creek Reserve","Park","263 Bilsen Road, Virginia",-27.383014,153.057978
"Dowse Lagoon Rotary Park","Park","122 Brighton Road, Sandgate",-27.308917,153.063996
"Drevesen Park","Park","352 Upper Esplanade, Manly",-27.446778,153.18636
"Ducie Street Park","Park","Ebrington Street, Darra",-27.572446,152.950001
"Dumbarton Drive Park","Park","24 Fortrose Street, Kenmore",-27.511527,152.927311
"Dunlop Park","Park","44 Turner Street, Corinda",-27.546835,152.982548
"Dunlop Park Memorial Swimming Pool (Corinda)","Swimming pool","794 Oxley Road, Corinda",-27.547095,152.9804668
"Dunmore Park","Park","65 Lang Pde, Auchenflower",-27.47421,152.999501
"Dunphy Street Park","Park","Dunphy Street, Sunnybank Hills",-27.591736,153.058154
"Durella Street Park","Park","Blunder Rd, Durack",-27.592706,152.98131
"Durrington Park","Park","4 School Road, Wynnum West",-27.449761,153.15419
"Dutton Park","Park","Memorial Park Drive, Dutton Park",-27.496466,153.02292
"E C Backwell","Park","30 Amaroo Street, Archerfield 4108",-27.558438,153.014918
"E. E. McCaskie Oval","Park","137 Kelvin Grove Rd, Kelvin Grove",-27.453844,153.012664
"Eagle Farm Road Park","Park","290 Eagle Farm Rd, Pinkenba",-27.418623,153.121698
"Earlsdon Place","Park","30 Browne Street, Corinda",-27.538812,152.980629
"Eastwood Drive Park","Park","4 O'Connor Crescent, Mansfield",-27.532437,153.10845
"Ed Devenport Rotary Park","Park","33 Beltana Street, Lota",-27.468959,153.189474
"Eden Elm Street Park","Park","49 Parklands Street, Calamvale 4116",-27.619625,153.054581
"Edenbrooke Park","Park","97 Edenbrooke Drive, Seventeen Mile Rocks",-27.554362,152.951602
"Edinburgh Castle Road Park","Park","Edinburgh Castle Road, Wavell Heights",-27.401809,153.038109
"Edward Kelk Park","Park","240 Sibley Road, Wynnum West",-27.446109,153.146269
"Edwards Park","Park","284 Cribb Road, Carindale 4152",-27.527301,153.104919
"Effie Johnson Park","Park","57 Garro Street, Sunnybank Hills",-27.5892,153.053596
"Einbunpin Lagoon Park","Park","21 Lagoon Street, Sandgate",-27.319457,153.068029
"Ekibin Memorial Park","Park","55 Lutzow Street, Tarragindi",-27.52052,153.045562
"Ekibin Park East","Park","140 Ridge Street, Greenslopes 4120",-27.509598,153.04079
"Ekibin Park South (Jessica Andrews Place)","Park","134 Ekibin Road, Annerley",-27.513395,153.037717
"Elanora Park","Park","Granada Street, Wynnum",-27.429332,153.169621
"Elinga Street Park","Park","19 Elinga Street, Jindalee",-27.532761,152.939063
"Elizabeth Bruce Playground Park","Park","38 Bamboo Street, Inala",-27.583562,152.971573
"Ellen Grove mobile library","Mobile library","260 Waterford Road, Carol Park",-27.608159,152.934475
"Elorac Place Community Garden","Community Garden","11a Southhampton Road, Carole Park",-27.615175,152.938446
"Emerson Park","Park","38 Cheviot Street, Grange",-27.41843,153.018451
"Emily Seebohm Aquatic Centre","Aquatic Centre","523 Telegraph Road, Fitzgibbon",-27.3320537,153.0406869
"Emma Miller Place","Park","109 Roma Street, Brisbane",-27.467102,153.021979
"Emmett Street Park","Park","331 Wondall Road, Wynnum West",-27.465548,153.153121
"Enbrook Parkland","Park","390 Telegraph Road, Bracken Ridge",-27.330851,153.029336
"Endiandra Street Park","Park","345 Algester Rd, Algester",-27.618412,153.031727
"Englefield Road Park","Park","48 Mabel St, Oxley",-27.557284,152.975418
"Enoggera Creek Reserve","Park","547 Waterworks Road, Ashgrove 4060",-27.446174,152.976295
"Enoggera Memorial Park","Park","95 Hurdcotte Street, Enoggera",-27.414192,152.987845
"Enoggera Reservoir Park","Park","36 Mt Nebo Road, Enoggera Reservoir",-27.441997,152.926894
"Eric Shaw Park","Park","Selina Street, Wynnum",-27.436824,153.164235
"Eric Sivell Park","Park","171 Boundary Road, Coorparoo 4151",-27.503972,153.073465
"Eridanus Street Park","Park","24 Bellatrix Street, Inala",-27.599936,152.96271
"Esplanade Park","Park","50 Esplanade, Yeronga",-27.515148,153.002528
"Essex Road Park","Park","12 Essex Road, Indooroopilly",-27.49952,152.982241
"Eucalypt Place Park","Park","21 Eucalypt Place, Bracken Ridge 4017",-27.325552,153.015816
"Eugenia Street Park","Park","81 Eugenia Street, Inala",-27.586057,152.964004
"Eungella Terrace Park","Park","119 Sanctuary Drive, Forest Lake",-27.634175,152.981969
"Evelyn Road Park","Park","Kianawah Rd, Wynnum West",-27.451713,153.144613
"Evergreen Place Park","Park","41 Rosewood Place, Murarrie",-27.464749,153.092177
"Everton Park Library","Library","561 South Pine Road, Everton Park",-27.405461,152.990243
"Ewan Place Park","Park","27 Ewan Place, Bracken Ridge",-27.326248,153.027977
"F.R. Caterson Park","Park","730 Mt Gravatt-Capalaba Road, Mansfield",-27.542454,153.113961
"Fairfield Library","Library","180 Fairfield Rd, Fairfield",-27.508778,153.024619
"Fairfield Park","Park","Cameron Street, Fairfield",-27.503548,153.026659
"Fallon Park","Park","Fallon Street, Everton Park",-27.40446,152.990437
"Faulkner Park","Park","183 Leybourne Street, Graceville",-27.517441,152.9838
"Fauna Parade Park","Park","40 Boobook St, Rocklea",-27.549192,153.014343
"Faversham Street Park","Park","35 Faversham St, Woolloongabba",-27.496403,153.038864
"Federation Street Park","Park","31 Federation Street, Wynnum West",-27.452405,153.152
"Fehlberg Park","Park","269 Venner Road, Fairfield Qld 4103 Australia",-27.510737,153.018447
"Feldt Street Park","Park","9 Feldt Street, Moorooka",-27.534912,153.031758
"Felspar Street Park","Park","9 Felspar Street, Eight Mile Plains",-27.57808,153.084875
"Fenwick Park","Park","682 Samford Road, Mitchelton",-27.412604,152.971183
"Ferguson Park (Bracken Ridge)","Park","201 Barrett Street, Bracken Ridge",-27.317999,153.036851
"Ferguson Park (Enoggera)","Park","Samford Rd, Enoggera",-27.419973,152.98754
"Ferny Grove Picnic Ground Park","Park","Samford Rd, Ferny Grove",-27.402829,152.939001
"Ferny Grove Resource Recovery Centre","General Council venue","101 Upper Kedron Road, Ferny Grove",-27.409823,152.923928
"Fiddlewood Crescent Park","Park","Fiddlewood Cres, Bellbowrie",-27.566589,152.879231
"Fifteen Mile Corner","Park","19 Teesdale Street, Corinda 4075",-27.54514,152.973666
"Fifty Plus Centre","General Council venue","64 Adelaide St, Brisbane",-27.469108,153.024058
"Fig Tree Common Park","Park","26 Errogie Pl, Fig Tree Pocket",-27.524914,152.954475
"Fig Tree Pocket Riverside Reserve","Park","9 Mandalay St, Fig Tree Pocket",-27.542207,152.972907
"Fig Tree Point Park (road reserve)","Park","751 Esplanade, Lota",-27.468962,153.192932
"Fihelly Street Park","Park","97 Fihelly Street, Keperra",-27.406115,152.960783
"Finney Road Park","Park","24 Finney Road, Indooroopilly",-27.502021,152.969895
"Finsbury Park","Park","106A Finsbury Street, Newmarket",-27.440117,153.014729
"Fisherman's Bend Park","Park","15 Fishermans Bend, Balmoral 4171",-27.457828,153.06812
"Fitzgerald Street Park","Park","54 Fitzgerald Street, Morningside",-27.477433,153.067464
"Flametree Street Park","Park","Flametree St, Bridgeman Downs",-27.349006,153.001737
"Fleming Road (no. 241) Park","Park","241 Fleming Road, Hemmant 4174",-27.461315,153.127379
"Fleming Road Park","Park","1814 Wynnum Road, Tingalpa",-27.465777,153.138371
"Fletcher Parade Park (nos.161-231)","Park","189 Fletcher Parade, Bardon",-27.450699,152.982129
"Flockton Street Park","Park","2 Lanchester Street, Stafford Heights",-27.395808,153.001577
"Florence Place Park","Park","27 Florence Street, Oxley",-27.555516,152.963813
"Floribunda Place Park","Park","25 Floribunda Street, Sunnybank Hills",-27.593739,153.046623
"Flynn Oval Park","Park","71 Cartwright St, Windsor",-27.439095,153.034029
"Forbes Park","Park","Ilex St, Inala",-27.586347,152.969214
"Forest Lake Lions Park","Park","36 Forest Lake Boulevard, Forest Lake",-27.604912,152.952764
"Forest Lake mobile library","Mobile library","235 Forest Lake Boulevard, Forest Lake",-27.625334,152.968776
"Forest Lake Sports Fields","Park","310 Forest Lake Boulevard, Forest Lake",-27.618642,152.965615
"Formation Street Park (road reserve)","Park","80 Formation Street, Wacol",-27.603048,152.927151
"Fort Road Bushlands","Park","Cliveden Ave, Oxley",-27.547357,152.967044
"Fountain Reserve","Park","118 Eagle Street, Brisbane City",-27.46603,153.030173
"Foxton Street Park (no. 130)","Park","130 Foxton Street, Morningside",-27.475006,153.074783
"Franchina Family Park","Park","25 Jalomy Street, Boondall",-27.351251,153.059653
"Francis Outlook Park","Park","157 Dewar Terrace, Corinda 4075",-27.536803,152.976419
"Frank Doyle Park","Park","1 Flinders Parade, Sandgate",-27.320323,153.074861
"Frank Roberts Park","Park","Charlotte St, Wavell Heights",-27.39504,153.051014
"Frank Sleeman Park","Park","Zillmere Rd, Boondall",-27.361011,153.059147
"Frank Waters Park","Park","Dorrington Drive, Ashgrove",-27.437178,152.991923
"Franquin Crescent Park","Park","27 Westpark Place, Kuraby",-27.595775,153.098871
"Fred Campbell Park","Park","748 Zillmere Road, Aspley 4034",-27.358459,153.020813
"Fred Francis Park","Park","280 Bracken Ridge Rd, Bracken Ridge",-27.313322,153.03976
"Frederick Annand Park","Park","632 Webster Road, Chermside West",-27.379404,153.019206
"Free Street Park","Park","12 Free Street, Newmarket",-27.444299,153.002792
"Fremont Street Park","Park","5 Delapine Pl, Seveteen Mile Rocks",-27.547436,152.959237
"Freney Street Park","Park","90 Freney St, Rocklea",-27.552113,153.017556
"Frew Park","Park","317 Milton Road, Milton",-27.469217,153.000174
"Frinton Street Park","Park","6 Frinton St, Wishart",-27.552072,153.098098
"Fursden Road Park","Park","132 Fursden Road, Cannon Hill 4170",-27.484325,153.10879
"Gagarra Street Park","Park","43A Gagarra Street, Eight Mile Plains 4113",-27.583074,153.089258
"Gager Street Park","Park","121 Lister Street, Sunnybank",-27.578127,153.057236
"Gainsborough Avenue Park","Park","9 Rembrandt Way, Mackenzie",-27.542471,153.125791
"Gair Park","Park","181 Annerley Road, Dutton Park",-27.496748,153.02736
"Game Fishing Pontoon","General Council venue","79 Kingsford Smith Drive, Hamilton",-27.439975,153.050636
"Gap Creek Reserve Picnic Area","Park","1 Gap Creek Road, Mount Coot-Tha",-27.478926,152.928633
"Garden City Library","Library","2049 Logan Road, Upper Mt Gravatt",-27.559695,153.08115
"Garrett Park","Park","38 Kalanda Street, Runcorn",-27.589757,153.081889
"Garth Webb Park","Park","151 Stanley Road, Camp Hill",-27.488455,153.085994
"Geebung Tip Shop","General Council venue","27A Prosperity Place, Geebung",-27.365734,153.046653
"Gemstone Crescent Park","Park","Watson Rd, Acacia Ridge",-27.592148,153.016062
"Geoff Toakley Park","Park","78 Cortis Street, Mount Gravatt East",-27.540085,153.084289
"George Clayton Park","Park","55 Lower Esplanade, Manly",-27.446408,153.184221
"George Scarlett Park","Park","101 Pratten St, Corinda",-27.548863,152.984511
"Gibbins Street Park","Park","3/22A Gibbins Street, Sunnybank Hills",-27.604718,153.051802
"Gibson Crescent Park","Park","105 Pioneer Crescent, Bellbowrie 4070",-27.560101,152.866599
"Gibson Park","Park","10 Nicol Street, Stafford",-27.412636,153.01422
"Gibson Place Park","Park","12 Monaco Street, Holland Park West",-27.527866,153.05783
"Gilbert Park","Park","98 Fulcher Rd, Red Hill",-27.448317,152.996982
"Gilbert Road Park","Park","110 Uxbridge Street, Grange",-27.42071,153.022252
"Giraween Park","Park","322 Verney Road East, Graceville",-27.521529,152.988385
"Gladstone Street Park (nos 48-58)","Park","58 Gladstone Street, Coorparoo",-27.491977,153.054404
"Gladstone Street Park (nos. 14-18)","Park","33 Lincoln Street, Oxley",-27.555593,152.977679
"Glasshouse Crescent Park","Park","Glasshouse Cres, Forest Lake",-27.618145,152.974456
"Glen Harding Park","Park","185 Coopers Camp Road, Ashgrove",-27.451164,152.979173
"Glenalwyn Street Park","Park","32 Glenalwyn Street, Holland Park",-27.517273,153.084409
"Gleneagles Crescent Park","Park","45 Alban Street, Oxley",-27.575596,152.986269
"Glindemann  Park","Park","1208 Logan Road, Holland Park",-27.525469,153.069151
"Glindemann Drive Park","Park","31 Holland Road, Holland Park",-27.519861,153.06607
"Glorious Way Park","Park","25 Glorious Way, Forest Lake",-27.616236,152.974474
"Gold Creek Reserve","Park","53 Jones Road, Brookfield",-27.462932,152.913485
"Goldberg Place Park","Park","165 Althorp Road, Bridgeman Downs",-27.37105,152.994986
"Golden Oak Crescent Park","Park","26 Colwell Street, Carindale",-27.525803,153.115941
"Golden Years Seniors Centre","Community Garden,Non-Council venue","15 Jenner Street, Nundah",-27.400331,153.062963
"Goldmine Picnic Area","Park","570 Sir Samuel Griffith Drive, Mt Coot-tha",-27.469722,152.941749
"Goodenia Reserve","Park","61 MacLean Street, Brighton",-27.3029985,153.0561586
"Goodwin Park","Park","230 Brisbane Corso, Yeronga",-27.506549,153.012929
"Gordon Crescent Park","Park","8 Gordon Crescent, Wakerley",-27.480362,153.153186
"Gordon Park Playground Park","Park","55 Khartoum St, Gordon Park",-27.41432,153.027725
"Gordon Thomson Park","Park","59 Rosebery Terrace, Chelmer 4068",-27.509669,152.975488
"Gorman Crinnen Park","Park","54 Condamine St, Runcorn",-27.607816,153.066898
"Gould Road Park","Park","16 Gould Rd, Herston",-27.442559,153.020609
"Gowan Road Park","Park","841 Gowan Rd, Calamvale",-27.627598,153.056223
"Gower Street Park","Park","21 Gower Street, Toowong",-27.484352,152.975255
"Graceville Avenue Park","Park","223 Graceville Avenue, Graceville",-27.525895,152.994758
"Graceville Memorial Park","Park","173 Oxley Road, Graceville",-27.517614,152.976414
"Graceville Riverside Parklands","Park","90 Nadine St, Graceville",-27.523662,152.992933
"Graceville/Sherwood Community Garden","Community Garden,Non-Council venue","79 Waratah Ave, Graceville",-27.518452,152.985234
"Graham Lord Park","Park","7 Newnham Road, Mt Gravatt East",-27.532726,153.093435
"Grandview Place Park","Park","19 Grandview Pl, Carindale",-27.51702,153.12214
"Grandview Road Park","Park","111 Grandview Road, Pullenvale",-27.531769,152.896617
"Grange Bowls and Community Club","Non-Council venue","79 Sellheim Street, Grange",-27.423864,153.018539
"Grange Forest Park","Park","105 Raymont Rd, Grange",-27.415086,153.009408
"Grange Library","Library","79 Evelyn St, Grange",-27.424763,153.017606
"Green Camp Road Park","Park","60 Rickertt Road, Ransome",-27.481154,153.171596
"Green Corner Community Garden (Ashgrove)","Community Garden,Non-Council venue","300 Waterworks Road, Ashgrove",-27.445942,152.989264
"Green Hill Reservoir Park","Park","Russell Tce, Chapel Hill",-27.495571,152.957539
"Green P Community Garden (PCYC)","Community Garden,Non-Council venue","106 Kempster Street, Sandgate",-27.319583,153.055432
"Greendale Park","Park","61A Cribb Road, Carindale",-27.519779,153.11501
"Greene Park","Park","Glenora Street, Wynnum",-27.436084,153.17278
"Greenhills Park","Park","29 Graham Street, Alderley",-27.429194,152.999746
"Greenmont Close Park","Park","15 Greenmont Close, Ashgrove 4060",-27.45231,152.967006
"Greenways Esplanade Park","Park","Greenways Esplanade, Parkinson",-27.642232,153.019851
"Gregory Park","Park","128 Baroona Road, Milton",-27.466746,152.999611
"Grenier Park","Park","20 Oxley St, Acacia Ridge",-27.579376,153.019535
"Grevillea Park","Park","40A Togar St, Mansfield",-27.53583,153.095322
"Grey Gum Park","Park","822 Rode Road, Stafford Heights",-27.391948,153.004059
"Grey Gum Picnic Area","Park","570 Sir Samuel Griffith Drive, Mt Coot-tha",-27.469722,152.941749
"Grey Gums Park","Park","22 Robinson Place, Kelvin Grove",-27.451802,153.013608
"Grinstead Park","Park","Shand Street, Alderley",-27.417242,153.00146
"Grove Park","Park","6 Pinetree Pl, Runcorn",-27.599971,153.078535
"Grovely Sportsground Park","Park","32 Hanran Street, Keperra",-27.403628,152.958718
"'Grow for Life' Abbeville Street Community Garden","Community Garden,Non-Council venue","41 Abbeville Street, Upper Mt Gravatt",-27.54509,153.089977
"Gubberley Street Park","Park","1A Fairholme Street, Kenmore",-27.511136,152.941568
"Gum Nut Nook","Park","27 Boulting St, McDowall",-27.383578,152.984551
"Gus Davies Park","Park","Charlock Rd, Gus Davies Park",-27.307198,153.020341
"Guyatt Park","Park","19 Hiron Street, St Lucia",-27.493103,153.001439
"Gympie Rd (No 1) Park","Park","15B Park Terrace, Kedron",-27.412769,153.036631
"Habitat Drive Park","Park","45 Habitat Dr, Wakerley",-27.487649,153.162624
"Haining Street Park","Park","50 Haining Street, Bardon",-27.467732,152.982481
"Hair Park","Park","1177 Beenleigh Road, Runcorn",-27.600817,153.083205
"Halford Park","Park","34 Blandford Street, Grange",-27.419263,153.009199
"Hamilton Library","Library","36 Racecourse Road, Hamilton",-27.438028,153.064454
"Hamilton Park","Park","471 Kingsford Smith Drive, Hamilton",-27.439362,153.06539
"Hamilton Town Hall","Community Hall","36-42 Racecourse Road, Hamilton",-27.438028,153.064454
"Hamish Street Park","Park","Murphy St, Calamvale",-27.61893,153.044116
"Hancock Park - Pine Village Park","Park","27 Huon Place, Forest Lake",-27.614676,152.960588
"Hanlon Park","Park","95 Lincoln St, Greenslopes",-27.500473,153.04205
"Hardcastle Park","Park","28 Gordon St, Hawthorne",-27.460821,153.053817
"Hardgrave Park","Park","155 Petrie Terrace, Petrie Terrace 4000",-27.46241,153.014818
"Harman's Park","Park","38 Curtis Street, Manly",-27.460297,153.180506
"Harmony Gardens","Park","359 Gladstone Road, Dutton Park",-27.497262,153.024758
"Harold Dean Park","Park","93 Gawain Road, Bracken Ridge",-27.314815,153.031698
"Harold Kielly Park","Park","508 Bracken Ridge Rd, Bald Hills",-27.31087,153.021723
"Harrison Crescent Park","Park","6 Mannix Place, Forest Lake",-27.624823,152.944887
"Harry Kirby Park","Park","29 Kirby Road, Aspley 4034",-27.360503,153.026399
"Hatherton Crescent Park","Park","4 Delaney Circuit, Carindale",-27.520988,153.108666
"Hawera Crescent Park","Park","23 Kakanui Street, Aspley 4034",-27.366417,153.006094
"Hawthorn Avenue Park","Park","113 The Parkway, Stretton",-27.627602,153.061631
"Hawthorne Park","Park","140 Riding Road, Hawthorne",-27.463682,153.062042
"Haywal Street Park","Park","11 Haywal Street, Taigum",-27.346388,153.049654
"Hazel Street Park","Park","8 Hazel Street, Heathwood",-27.634392,152.988705
"Heath Park","Park","Hilton Street, East Brisbane",-27.47827,153.05252
"Heath Street Park","Park","14 Heath Street, Forest Lake",-27.609966,152.969512
"Heathwood Park","Park","140 Parkwood Drive, Heathwood",-27.637766,152.987666
"Hedley Barker Park","Park","26 Stonycroft St, Aspley",-27.369884,153.008857
"Heers Park","Park","202 Wondall Road, Manly West",-27.462409,153.161691
"Hefferan Park","Park","260 Annerley Road, Annerley",-27.500504,153.029387
"Heiner Park (previously known as Oxford Park Reserve)","Park","170 Blaker Road, Keperra",-27.404339,152.966314
"Hemmant Boat Ramp","General Council venue","72 Aquarium Avenue, Hemmant",-27.440676,153.126654
"Hemmant Recreation Reserve","Park","50 Doughboy Pde, Hemmant",-27.453499,153.12028
"Henry Clarkson Park","Park","97 Marshall Lane, Kenmore",-27.516986,152.945684
"Herb Holz Park","Park","20 Burralong Street, Deagon",-27.334205,153.057937
"Herbert Street Park","Park","66A Herbert St, Lota",-27.474753,153.178078
"Hercules Street Park","Park","40 Remora Rd, Hamilton",-27.438692,153.069858
"Heritage Park","Park","207 College Road, Karana Downs",-27.543787,152.832064
"Hibiscus Skate Park","Park","90 Klumpp Road, Upper Mt Gravatt",-27.551971,153.073485
"Hibiscus Sports Complex","General Council venue","90 Klumpp Road, Upper Mount Gravatt",-27.551971,153.073485
"Hibiscus Sports Complex - swimming pools","Swimming pool","90 Klumpp Road, Upper Mount Gravatt",-27.5524462,153.0701377
"Hickey Park","Park","35 Babarra Street, Stafford",-27.414905,153.020194
"Highgate Hill Park","Park","21 Bellevue Street, Highgate Hill",-27.486667,153.01665
"Highlands Drive Park","Park","25 Highlands Dr, Calamvale",-27.610864,153.046597
"Hill Road Park","Park","134A Hill Road, Runcorn",-27.59071,153.076912
"Hinchinbrook Circuit Park","Park","58 Hinchinbrook Crct, Forest Lake",-27.634764,152.977761
"Hinkler Park","Park","Main Ave, Windsor",-27.432114,153.024211
"Hives Park","Park","63 Primrose Street, Sherwood",-27.534713,152.980426
"Hock Davis Park","Park","Lavender Street, Inala",-27.593951,152.964288
"Holden Park","Park","18 Holden Drive, Sunnybank Hills",-27.595195,153.042464
"Holland Park Library","Library","81 Seville Rd, Holland Park",-27.522705,153.072136
"Hollyman Park","Park","35 Allamanda Street, Runcorn",-27.588736,153.072599
"Holmead Park","Park","2 Holmead Road, Eight Mile Plains",-27.566344,153.09262
"Holmead Road Park","Park","165 Holmead Road, Eight Mile Plains",-27.574799,153.102335
"Honeysuckle Way Park","Park","Honeysuckle Way, Calamvale",-27.633191,153.053717
"Honeywood Street Park","Park","45 Cherrywood Street, Sunnybank Hills",-27.610208,153.059303
"Horace Window Reserve (Carrington Rocks Reserve)","Park","11 Devaney Lane, Corinda",-27.536128,152.973243
"Horizon Drive Park","Park","141 Horizon Dr, Middle Park",-27.551152,152.920991
"Hoyland Street Park (no. 10)","Park","91A Elstree Street, Bald Hills",-27.317612,153.018219
"Hudson Road Park","Park","37A Hudson Road, Albion 4010",-27.430764,153.041225
"Hughie Williams Park","Park","93 Cecil Road, Bardon",-27.456755,152.98303
"Hutchinson Park","Park","77 Friday Street, Shorncliffe",-27.326392,153.081186
"Huxtable Park","Park","61 Maundrell Terrace, Chermside West",-27.388044,153.01665
"Hyde Road Park","Park","331 Fairfield Rd, Yeronga",-27.512947,153.018614
"I.S.A. Memorial Park","Park","65 Hyacincth Street, Inala",-27.595966,152.971317
"Ian Page Park","Park","61 Cloverbrook Pl, Carina",-27.489026,153.102943
"Illaweena Street Park (no. 263)","Park","263 Illaweena St, Drewvale",-27.640222,153.056892
"Illawong Reserve","Park","73 College Rd, Karana Downs",-27.555866,152.816655
"Illoura Park","Park","29 Trident Street, Mansfield",-27.537693,153.103782
"Imlay Place Park","Park","8 Imlay Place, Parkinson",-27.638843,153.023357
"Inala Community Garden (Spiritus Early Parent Centre)","Community Garden,Non-Council venue","105 Poinsettia Street, Inala",-27.596836,152.968409
"Inala Library","Library","156 Inala Avenue, Inala",-27.597638,152.974677
"Indooroopilly Library","Library","322 Moggill Road, Indooroopilly",-27.497674,152.972465
"Ingram Road Park","Park","89 Ingram Road, Sunnybank Hills",-27.593382,153.042062
"Inverness Street Park","Park","115 Canvey Road, Upper Kedron",-27.414492,152.920627
"Iona Close Park","Park","11 Skye Street, Belmont",-27.483271,153.122875
"Iris Place Park","Park","15A Marigold Close, Fitzgibbon 4018",-27.342948,153.033084
"Ironwood Street Park","Park","111 Ironwood Street, Aspley 4034",-27.373047,153.012143
"Isaac Best Park","Park","70C Wickfield Street, Bracken Ridge 4017",-27.319151,153.021013
"Ithaca Auditorium, Brisbane City Hall","General Council venue,Library","64 Adelaide Street, Brisbane",-27.469108,153.024058
